"COU","Country","VAR","Variable","SOU","Source","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2005","2005","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2006","2006","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2007","2007","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2008","2008","USD","US Dollar","0","Units",,,0.18089999258518,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2009","2009","USD","US Dollar","0","Units",,,0.18559999763966,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2010","2010","USD","US Dollar","0","Units",,,0.34610000252724,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2011","2011","USD","US Dollar","0","Units",,,0.43999999761581,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2012","2012","USD","US Dollar","0","Units",,,0.40239998698235,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2013","2013","USD","US Dollar","0","Units",,,0.33860000967979,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2014","2014","USD","US Dollar","0","Units",,,0.28200000524521,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2015","2015","USD","US Dollar","0","Units",,,0.23149999976158,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2016","2016","USD","US Dollar","0","Units",,,0.2255000025034,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2017","2017","USD","US Dollar","0","Units",,,0.228900000453,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2018","2018","USD","US Dollar","0","Units",,,0.22560000419617,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SOLAR","Solar PV","2019","2019","USD","US Dollar","0","Units",,,0.21080000698566,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2000","2000","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2001","2001","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2002","2002","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2003","2003","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2004","2004","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2005","2005","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2006","2006","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2007","2007","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2008","2008","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2009","2009","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2010","2010","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2011","2011","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2012","2012","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2013","2013","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2014","2014","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2015","2015","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2016","2016","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2017","2017","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2018","2018","YR","Years","0","Units",,,20,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","SOLAR","Solar PV","2019","2019","YR","Years","0","Units",,,20,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2000","2000","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2001","2001","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2002","2002","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2003","2003","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2004","2004","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2005","2005","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2006","2006","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2007","2007","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2008","2008","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2009","2009","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2010","2010","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2011","2011","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2012","2012","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2013","2013","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2014","2014","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2015","2015","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2016","2016","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2017","2017","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2018","2018","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","GEOTH","Geothermal","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2000","2000","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2001","2001","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2002","2002","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2003","2003","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2004","2004","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2005","2005","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2006","2006","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2007","2007","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2008","2008","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2009","2009","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2010","2010","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2011","2011","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2012","2012","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2013","2013","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2014","2014","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2015","2015","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2016","2016","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2017","2017","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2018","2018","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","GEOTH","Geothermal","2019","2019","YR","Years","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2000","2000","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2001","2001","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2002","2002","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2003","2003","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2004","2004","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2005","2005","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2006","2006","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2007","2007","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2008","2008","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2009","2009","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2010","2010","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2011","2011","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2012","2012","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2013","2013","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2014","2014","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2015","2015","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2016","2016","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2017","2017","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2018","2018","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","BIOMASS","Biomass","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2000","2000","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2001","2001","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2002","2002","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2003","2003","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2004","2004","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2005","2005","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2006","2006","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2007","2007","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2008","2008","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2009","2009","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2010","2010","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2011","2011","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2012","2012","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2013","2013","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2014","2014","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2015","2015","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2016","2016","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2017","2017","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2018","2018","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","BIOMASS","Biomass","2019","2019","YR","Years","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2000","2000","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2001","2001","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2002","2002","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2003","2003","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2004","2004","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2005","2005","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2006","2006","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2007","2007","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2008","2008","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2009","2009","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2010","2010","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2011","2011","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2012","2012","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2013","2013","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2014","2014","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2015","2015","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2016","2016","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2017","2017","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2018","2018","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WASTE","Waste","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2000","2000","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2001","2001","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2002","2002","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2003","2003","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2004","2004","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2005","2005","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2006","2006","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2007","2007","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2008","2008","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2009","2009","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2010","2010","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2011","2011","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2012","2012","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2013","2013","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2014","2014","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2015","2015","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2016","2016","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2017","2017","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2018","2018","YR","Years","0","Units",,,0,,
"AUS","Australia","CLENGTH","Length of power purchase agreement","WASTE","Waste","2019","2019","YR","Years","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2000","2000","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2001","2001","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2002","2002","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2003","2003","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2004","2004","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2005","2005","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2006","2006","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2007","2007","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2008","2008","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2009","2009","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2010","2010","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2011","2011","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2012","2012","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2013","2013","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2014","2014","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2015","2015","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2016","2016","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2017","2017","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2018","2018","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","SHYDRO","Small Hydro","2019","2019","USD","US Dollar","0","Units",,,0,,
